date,country,total.confirmation,X,X.1
20191221,907,0,NA,NA
20191222,907,0,NA,NA
20191223,907,0,NA,NA
20191224,907,0,NA,NA
20191225,907,0,NA,NA
20191226,907,0,NA,NA
20191227,907,0,NA,NA
20191228,907,0,NA,NA
20191229,907,0,NA,NA
20191230,907,0,NA,NA
20191231,907,0,NA,NA
20200101,907,0,NA,NA
20200102,907,0,NA,NA
20200103,907,0,NA,NA
20200104,907,0,NA,NA
20200105,907,0,NA,NA
20200106,907,0,NA,NA
20200107,907,0,NA,NA
20200108,907,0,NA,NA
20200109,907,0,NA,NA
20200110,907,0,NA,NA
20200111,907,0,NA,NA
20200112,907,0,NA,NA
20200113,907,0,NA,NA
20200114,907,0,NA,NA
20200115,907,0,NA,NA
20200116,907,0,NA,NA
20200117,907,0,NA,NA
20200118,907,0,NA,NA
20200119,907,0,NA,NA
20200120,907,0,NA,NA
20200121,907,0,NA,NA
20200122,907,0,NA,NA
20200123,907,0,NA,NA
20200124,907,0,NA,NA
20200125,907,0,NA,NA
20200126,907,0,NA,NA
20200127,907,0,NA,NA
20200128,907,0,NA,NA
20200129,907,0,NA,NA
20200130,907,0,NA,NA
20200131,907,0,NA,NA
20200201,907,1,NA,NA
20200202,907,1,NA,NA
20200203,907,1,NA,NA
20200204,907,1,NA,NA
20200205,907,1,NA,NA
20200206,907,1,NA,NA
20200207,907,1,NA,NA
20200208,907,1,NA,NA
20200209,907,2,NA,NA
20200210,907,2,NA,NA
20200211,907,2,NA,NA
20200212,907,2,NA,NA
20200213,907,2,NA,NA
20200214,907,2,NA,NA
20200215,907,2,NA,NA
20200216,907,2,NA,NA
20200217,907,2,NA,NA
20200218,907,2,NA,NA
20200219,907,2,NA,NA
20200220,907,2,NA,NA
20200221,907,2,NA,NA
20200222,907,2,NA,NA
20200223,907,2,NA,NA
20200224,907,2,NA,NA
20200225,907,6,NA,NA
20200226,907,13,NA,NA
20200227,907,15,NA,NA
20200228,907,32,NA,NA
20200229,907,45,NA,NA
20200301,907,84,NA,NA
20200302,907,120,NA,NA
20200303,907,165,NA,NA
20200304,907,222,NA,NA
20200305,907,259,NA,NA
20200306,907,400,NA,NA
20200307,907,500,NA,NA
20200308,907,673,NA,NA
20200309,907,1073,NA,NA
20200310,907,1695,NA,NA
20200311,907,2277,NA,NA
20200312,907,2277,NA,NA
20200313,907,5232,NA,NA
20200314,907,6391,NA,NA
20200315,907,7798,NA,NA
20200316,907,9942,NA,NA
20200317,907,11748,NA,NA
20200318,907,13910,NA,NA
